"title","average_vote","popularity","tagline"
"Teenage Mutant Ninja Turtles","5.8","143.350376","Mysterious. Dangerous. Reptilious. You've never seen heroes like this."
"Twilight","5.8","127.084938","When you can live forever, what do you live for?"
"The Twilight Saga: Eclipse","5.8","107.069763","It all begins ... With a choice."
"Snow White and the Huntsman","5.8","77.178973","The Fairytale is Over"
"The Golden Compass","5.8","42.990906","There are worlds beyond our own - the compass will show the way."
"Teenage Mutant Ninja Turtles: Out of the Shadows","5.8","39.873791","Raise some shell."
"The Sorcerer's Apprentice","5.8","35.580815","It's The Coolest Job Ever."
"Stuart Little","5.8","30.475297","The Little Family Just Got Bigger"
"Just My Luck","5.8","22.074306","Everything changed in the wink of an eye."
"Conan the Destroyer","5.8","18.379124","The most powerful legend of all is back in a new adventure."
"Vampires","5.8","17.016284","From the Master of Evil. Comes a New Breed of Terror"
"Aquamarine","5.8","16.931846","A Fish-Out-Of-Water Comedy."
"Charlotte's Web","5.8","14.132583","Something unexpected, unbelievable, unforgettable."
"Hereafter","5.8","13.365715","Touched by death. Changed by life."
"The Brass Teapot","5.8","10.639774","Everyone Has A Price. What's Yours?"
"The Borrowers","5.8","10.364582","Little People. Big Trouble. Lots of fun."
"Krull","5.8","9.904881","A world light-years beyond your imagination."
"Warlock","5.8","9.887662","Satan also has one son."
"Dead Like Me: Life After Death","5.8","7.864905","*No Tag Line*"
"Muppets from Space","5.8","6.589193","Space. It's not as deep as you think."
"Nothing","5.8","3.408955","*No Tag Line*"
"Batman v Superman: Dawn of Justice","5.7","155.790452","Justice or revenge"
"Hansel & Gretel: Witch Hunters","5.7","53.027870","Classic tale. New twist."
"The Last Witch Hunter","5.7","52.612025","Hunt forever."
"Dark Shadows","5.7","50.306728","Every Family Has Its Demons"
"Blade: Trinity","5.7","49.660055","The final hunt begins."
"The League of Extraordinary Gentlemen","5.7","47.436675","The power of seven become a league of one."
"Oz: The Great and Powerful","5.7","46.985445","In Oz, nothing is what it seems"
"Lara Croft: Tomb Raider","5.7","41.498631","Born into Wealth. Groomed by the Elite. Trained for Combat."
"Immortals","5.7","37.917002","The Gods need a hero."
"Mystery Men","5.7","12.948627","We're not your classic heroes, we're the other guys."
"The Good Night","5.7","12.185204","Dreaming is believing."
"Rubber","5.7","9.108949","Are you TIRED of the expected?"
"Beyond the Black Rainbow","5.7","7.717237","Beyond Science. Beyond Sanity. Beyond Control."
"Memoirs of an Invisible Man","5.7","7.222985","An adventure like you've never seen."
"Like Mike","5.7","5.736670","Think like Mike, Achieve like Mike, Be Like Mike."
"The Twilight Saga: New Moon","5.6","94.815867","The Next Chapter Begins."
"Sausage Party","5.6","66.242737","Always use condiments"
"Into the Woods","5.6","65.901610","Be careful what you wish for..."
"Clash of the Titans","5.6","47.686442","Titans will clash."
"Red Riding Hood","5.6","45.151657","Who's afraid?"
"Beautiful Creatures","5.6","40.721373","Dark secrets will come to light."
"The Brothers Grimm","5.6","40.138009","Eliminating Evil Since 1812."
"Bedazzled","5.6","19.348007","Meet the Devil. She's giving Elliott seven wishes. But not a chance in Hell."
"Nim's Island","5.6","14.353279","Your adventure starts here."
"Jimmy Neutron: Boy Genius","5.6","12.739721","He may be small, but he's got a big brain!"
"The Hole","5.6","9.983004","What Are You So Afraid Of?"
"White Noise 2: The Light","5.6","6.814247","Sometimes they don't come back alone."
"Bathory: Countess of Blood","5.6","2.500218","*No Tag Line*"
"The Nutcracker","5.6","0.068228","The joy of the New York City Ballet in an exciting family holiday motion picture."
"Lara Croft Tomb Raider: The Cradle of Life","5.5","56.811056","Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box"
"Mirror Mirror","5.5","48.126297","The Snow White legend comes alive."
"Alvin and the Chipmunks","5.5","47.336034","Get your squeak on!"
"Jack the Giant Slayer","5.5","43.349855","Prepare for a giant adventure"
"Abraham Lincoln: Vampire Hunter","5.5","38.634767","Are you a patriot or a vampire?"
"The Smurfs","5.5","36.654220","Smurf Happens."
"The Smurfs 2","5.5","32.473628","Get ready to get naughty!"
"Race to Witch Mountain","5.5","23.935053","The race is on"
"End of Days","5.5","20.652943","Prepare for the end."
"The Ant Bully","5.5","20.239061","The battle for the lawn is on."
"Cirque du Freak: The Vampire's Assistant","5.5","16.424807","Meet Darren. He's sixteen going on immortal."
"The Santa Clause 2","5.5","14.646884","What's Christmas Fun without some Reindeer Games?"
"Multiplicity","5.5","11.120344","Sometimes to get more out of life, you have to make more of yourself."
"Tank Girl","5.5","8.186936","In 2033, justice rides a tank and wears lip gloss."
"A Simple Wish","5.5","1.767479","Anabel made a wish. Murray made a mess"
"Fantastic 4: Rise of the Silver Surfer","5.4","60.810723","Discover the secret of the Surfer."
"Superman Returns","5.4","57.925623","*No Tag Line*"
"R.I.P.D.","5.4","39.448066","To protect and serve the living"
"Alvin and the Chipmunks: The Squeakquel","5.4","29.412262","The Boys are back in town... and they have competition."
"Priest","5.4","28.350927","Vampire Killer"
"Alvin and the Chipmunks: Chipwrecked","5.4","23.473004","This holiday it's gonna get squeaky."
"Scooby-Doo 2: Monsters Unleashed","5.4","22.644275","They came. They saw. They ran."
"Doctor Dolittle","5.4","21.462935","He doesn't just talk to the animals!"
"The Nutty Professor","5.4","20.281190","Inside Sherman Klump, a party animal is about to break out."
