director_id,director
36805,Audrey Wells
64045,Kirk Jones
172,Michael Winterbottom
16834,Allen Coulter
116805,Paul Feig
5575,Akiva Goldsman
52941,Rob McKittrick
26875,Hideo Nakata
1174031,George T. Miller
26850,Eduardo Sánchez
127936,Chris Stokes
4967,Colin Higgins
51851,Jake Kasdan
997560,Brett Winn
53767,Roger Vadim
29922,Marcus Nispel
1191051,Blair Erickson
54597,Joe Nussbaum
135534,Léa Pool
145134,Jill Sprecher
115309,Khyentse Norbu
61372,Tony Leech
51918,Harmony Korine
132856,Tim Heidecker
1113116,Andy Muschietti
17016,Neil Jordan
7213,Jonathan Mostow
7399,Ben Stiller
83730,Jonathan English
1196522,Jeffrey St. Jules
1140160,Randy Moore
17597,Juan Carlos Fresnadillo
44847,David Anspaugh
25735,Christian Duguay
76095,Jennifer Finnigan
1243,Woody Allen
57492,Morgan Spurlock
1027145,Andrew J. Smith
774,"Daniel Petrie, Jr."
15217,Zack Snyder
55075,Jeff Wadlow
550858,Qasim Basir
1352997,Kabir Sadanand
1413504,Shyam Madiraju
844266,Jon Erwin
144528,Bruce MacDonald
21657,Vera Farmiga
56660,Lorna Cook
119417,Gavin Wiesen
233519,James David Pasternak
56501,Michael Spierig
2260,Steven Zaillian
75687,Christian Robinson
86662,David Sington
63943,Rowdy Herrington
105313,James Mottern
21879,Simon Wells
229962,Mike Thurmeier
93905,Allan Dwan
43518,Lawrence Kasanoff
1215,Raja Gosnell
75882,S.R. Bindler
66121,"George Tillman, Jr."
58552,Burr Steers
57962,Mort Nathan
1150,Brian De Palma
48980,David McNally
14597,Gaspar Noé
132812,Jonathan Parker
29783,Fred Durst
27728,Leslie H. Martinson
5524,Andrew Adamson
64194,Paweł Pawlikowski
1066308,Aaron T. Wells
120246,Huck Botko
12114,Michael Cimino
119953,Gabe Ibáñez
1571422,Warren Sheppard
64901,Gordon Chan
131242,Anthony Bell
4489,Steve Oedekerk
57898,William Malone
19311,Stephen Chbosky
52358,Boaz Yakin
12632,Daniel Sackheim
55420,William Arntz
2293,Frank Miller
56710,Oliver Parker
991868,Ari Sandel
11012,Michael Dougherty
89395,Katherine Dieckmann
113799,Frank Perry
29605,Mikael Håfström
111745,Frank Sebastiano
57173,Jeff Lowell
1414864,Mor Loushy
16863,Todd Haynes
71548,Peter Sollett
14639,Mel Brooks
49903,Tim Hill
110873,Igor Kovalyov
224,David Cronenberg
586002,Andrew Haigh
33183,David Bowers
53014,Jessica Bendinger
29524,Rand Ravich
930629,Jamie Travis
71527,Marco Schnabel
228,Ed Harris
65133,Marcus Raboy
1056121,Ryan Coogler
942251,Rachel Perkins
11887,Brad Silberling
1360439,Collin Joseph Neal
5469,Ralph Fiennes
40508,James Cox
81476,Ariel Vromen
4786,Richard Attenborough
33192,Joel Edgerton
52114,Jon Lucas
1044257,James Swirsky
234818,Christopher Erskin
101515,Robinson Devor
15218,James Gunn
130051,Craig Moss
70238,Chris Williams
82511,Will Gluck
559968,Leslie Small
2461,Mel Gibson
13235,Alexander Payne
62556,Fred Walton
1532382,Joseph Mazzella
1205756,Patrick Gilmore
10601,Joseph L. Mankiewicz
64114,Edward Dmytryk
130837,Stewart Hendler
5691,Samuel Armstrong
1366270,Wade Gasque
20907,Antoine Fuqua
1577521,Manuel Marín
132239,Babak Najafi
93911,Terence Davies
60621,Jeff Franklin
15663,Joseph Sargent
1723,Walter Hill
554946,William Sachs
94831,Maggie Greenwald
2876,Matt Dillon
92935,Don Kempf
74626,Dan Reed
1491995,Rick de Oliveira
1035,Paul Schrader
1375066,Stuart Ortiz
84833,Zach Cregger
74259,Brian Dannelly
52371,J.S. Cardone
52779,Ryan Murphy
21053,John Dahl
98103,Richard Ayoade
1519326,Justin Paul Miller
69237,Joe Berlinger
558177,Jonathan Newman
36797,Robert Luketic
120515,Theodore Witcher
72344,Asger Leth
1018699,Corey Grant
141688,Gary McKendry
53935,Dito Montiel
8300,Kevin Reynolds
121830,Nathan Greno
1179590,Scott Walker
40256,D.J. Caruso
18323,Marc Lawrence
78545,Conor McMahon
11429,Hamilton Luske
631226,Arjun Sablok
1284493,R.J. Cutler
6720,Joan Chen
1401541,Travis Cluff
117075,Henry Jaglom
508,David Koepp
18308,Steve Barron
14875,Robert Rossen
1039544,Nnegest Likké
58822,Danny Steinmann
20824,Perry Andelin Blake
556172,J.C. Chandor
30149,Mikael Salomon
8297,Roger Avary
70076,Russell Friedenberg
69597,Drew Barrymore
54734,Evan Goldberg
16544,Ted Kotcheff
5174,Barry Sonnenfeld
4109,Michael Curtiz
2675,Darren Lynn Bousman
10965,Chris Columbus
52094,Jerry Jameson
933739,Zal Batmanglij
65629,Bibo Bergeron
52968,Russell Mulcahy
77062,Damian Nieman
107446,Phil Lord
85563,Brian Herzlinger
23287,Andrew Jarecki
996070,Charles Adelman
49605,Ekachai Uekrongtham
86051,Joshua Logan
34453,Kevin Bray
31621,Jeff Burr
57134,James Wong
31211,Clive Barker
93301,Jun Falkenstein
68844,Hayden Schlossberg
9048,Clark Gregg
307546,Jim Hanon
53599,Andrew Morahan
119819,Anurag Basu
53177,Brian Robbins
65134,DJ Pooh
56263,Mary Lambert
1161761,Catherine Gund
129514,Peter H. Hunt
566314,Brian Caunter
228643,Morgan Neville
61848,James Dodson
88506,Joel Paul Reisig
114597,Julie Anne Robinson
102634,Katt Shea
34740,Edmund Goulding
5501,Gary Fleder
31511,Grant Heslov
130482,Mary McGuckian
1501366,Simeon Rice
53334,Jim Sheridan
78914,Noam Murro
1346215,Lluís Quílez
16391,Julie Taymor
46297,Jay Russell
58375,Andy Fickman
1158417,Victor Teran
1030160,Richard Raymond
74299,Pixote Hunt
15175,William Friedkin
1128,Agnieszka Holland
20305,Christopher Roberts
9039,John Ottman
7397,Ed Decter
52629,Joseph Ruben
12840,John Badham
37626,Patrice Leconte
129941,Alan Shapiro
1044250,Panos Cosmatos
1395853,Mauricio De la Orta
12640,David Duchovny
63306,James Watkins
1330499,Daniel Garcia
21506,George Sidney
138,Quentin Tarantino
44113,Steve Hickner
201,Michel Gondry
5216,Gus Van Sant
141450,Mel Smith
65420,Louis Morneau
23968,Phil Alden Robinson
110876,Rachel Goldenberg
6400,Tom DiCillo
77003,Gavin O'Connor
82337,Wash Westmoreland
73833,Bo Zenga
72543,Sam Firstenberg
35796,Craig Mazin
110427,Kriv Stenders
39822,Rich Cowan
145304,Udayan Prasad
56736,Xavier Palud
2034,Danny Boyle
25950,Jean-Paul Rappeneau
72467,Thaddeus O'Sullivan
15811,John Musker
5834,Robert Stevenson
7482,Julian Schnabel
880,Ben Affleck
137427,Denis Villeneuve
18254,Simon Wincer
59646,Kinka Usher
66116,Mark Brown
1174438,Ian Gamazon
31074,Kinji Fukasaku
12881,Gary Goldman
24528,Matthew R. Anderson
143079,Christian E. Christiansen
47005,Alan Taylor
